sno	Collected_Protein_name	Uniprot_Name	Uniprot_ID	Approved_Symbol	Gene_Identifier	Approved_Protein_Name	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
1035	P27	CDN1B_HUMAN	P46527	CDKN1B	HGNC:1785	Cyclin-dependent kinase inhibitor 1B	Human	Protein	34408986	Homo sapiens				Human primary dermal fibroblasts (HDF)	Foreskin	Cell	UVB-radiation		300	in vitro	No irradiation	24	Proteomics	Immunofluorescence	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
1036	Atg7	ATG7_HUMAN	O95352	ATG7	HGNC:16935	Ubiquitin-like modifier-activating enzyme ATG7	Human	Protein	34408986	Homo sapiens				Human primary dermal fibroblasts (HDF)	Foreskin	Cell	UVB-radiation		300	in vitro	No irradiation	6	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
1037	P21	CDN1A_HUMAN	P38936	CDKN1A	HGNC:1784	Cyclin-dependent kinase inhibitor 1	Human	Protein	34408986	Homo sapiens				Human primary dermal fibroblasts (HDF)	Foreskin	Cell	UVB-radiation		300	in vitro	No irradiation	24	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
1038	P27	CDN1B_HUMAN	P46527	CDKN1B	HGNC:1785	Cyclin-dependent kinase inhibitor 1B	Human	Protein	34408986	Homo sapiens				Human primary dermal fibroblasts (HDF)	Foreskin	Cell	UVB-radiation		300	in vitro	No irradiation	24	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
1039	Caspase-3	CASP3_HUMAN	P42574	CASP3	HGNC:1504	Caspase-3	Human	Protein	34517082	Homo sapiens				HaCaT		Cell	UVB-radiation		800	in vitro	No irradiation		Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
1040	iNOS	NOS2_HUMAN	P35228	NOS2	HGNC:7873	Nitric oxide synthase, inducible	Human	Protein	34517082	Homo sapiens				HaCaT		Cell	UVB-radiation		800	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
1041	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	34517082	Homo sapiens				HaCaT		Cell	UVB-radiation		800	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
1042	MMP-3	MMP3_HUMAN	P08254	MMP3	HGNC:7173	Stromelysin-1	Human	Protein	34517082	Homo sapiens				HaCaT		Cell	UVB-radiation		800	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
1043	NOS3	NOS3_HUMAN	P29474	NOS3	HGNC:7876	Nitric oxide synthase, endothelial	Human	Protein	34638666	Homo sapiens				HaCaT	Skin	Cell	UVB-radiation		50	in vitro	No irradiation	6	Proteomics	Immunoprecipitation	Up	keratinocyte	CL_0000312	Cell Ontology	
1044	NADK	NADK_MOUSE	P58058	Nadk	MGI:2183149	NAD kinase	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Skin	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics		Down	skin of body	UBERON_0002097	Uberon Ontology	
1045	TNF-α	TNFA_MOUSE	P06804	Tnf	MGI:104798	Tumor necrosis factor	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Skin	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
1046	IL-1β	IL1B_MOUSE	P10749	Il1b	MGI:96543	Interleukin-1 beta	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Skin	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
1047	IL-6	IL6_MOUSE	P08505	Il6	MGI:96559	Interleukin-6	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Skin	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
1048	TNF-α	TNFA_MOUSE	P06804	Tnf	MGI:104798	Tumor necrosis factor	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Serum	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	ELISA	Up				
1049	IL-1β	IL1B_MOUSE	P10749	Il1b	MGI:96543	Interleukin-1 beta	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Serum	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	ELISA	Up				
1050	IL-6	IL6_MOUSE	P08505	Il6	MGI:96559	Interleukin-6	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Serum	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	ELISA	Up				
1051	IL-4	IL4_MOUSE	P07750	Il4	MGI:96556	Interleukin-4	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Skin	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	ELISA	Down	skin of body	UBERON_0002097	Uberon Ontology	
1052	IL-10	IL10_MOUSE	P18893	Il10	MGI:96537	Interleukin-10	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Skin	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	ELISA	Down	skin of body	UBERON_0002097	Uberon Ontology	
1053	IL-4	IL4_MOUSE	P07750	Il4	MGI:96556	Interleukin-4	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Serum	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	ELISA	Down				
1054	IL-10	IL10_MOUSE	P18893	Il10	MGI:96537	Interleukin-10	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Serum	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	ELISA	Down				
1055	IκB-α	IKBA_MOUSE	Q9Z1E3	Nfkbia	MGI:104741	NF-kappa-B inhibitor alpha	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Skin	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	Western blot	Down	skin of body	UBERON_0002097	Uberon Ontology	
1056	SOD1	SODC_MOUSE	P08228	Sod1	MGI:98351	Superoxide dismutase [Cu-Zn]	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Skin	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	Western blot	Down	skin of body	UBERON_0002097	Uberon Ontology	
1057	CAT	CATA_MOUSE	P24270	Cat	MGI:88271	Catalase	Mouse	Protein	34675595	Mus musculus	ICR	Female	0.13	Skin	Skin	Tissue	UVB-radiation	1200	3024000	in vivo	No irradiation		Proteomics	Western blot	Down	skin of body	UBERON_0002097	Uberon Ontology	
1058	IL-1α	IL1A_HUMAN	P01583	IL1A	HGNC:5991	Interleukin-1 alpha	Human	Protein	34777694	Homo sapiens				Primary human keratinocytes	Foreskin	Cell	UVB-radiation		500	in vitro	No irradiation	4	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
1059	IL-1β	IL1B_HUMAN	P01584	IL1B	HGNC:5992	Interleukin-1 beta	Human	Protein	34777694	Homo sapiens				Primary human keratinocytes	Foreskin	Cell	UVB-radiation		500	in vitro	No irradiation	4	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
1060	RIPK3	RIPK3_MOUSE	Q9QZL0	Ripk3	MGI:2154952	Receptor-interacting serine/threonine-protein kinase 3	Mouse	Protein	34815387	Mus musculus	C57BL/6			Corneal endothelium	Cornea	Tissue	UVA-radiation	129.9	600000	in vitro	No irradiation	24	Proteomics	Western blot	Up	corneal endothelium	UBERON_0001985	Uberon Ontology	
1061	RIPK3	RIPK3_MOUSE	Q9QZL0	Ripk3	MGI:2154952	Receptor-interacting serine/threonine-protein kinase 3	Mouse	Protein	34815387	Mus musculus	C57BL/6			Corneal endothelium	Cornea	Tissue	UVA-radiation	129.9	600000	in vitro	No irradiation	24	Proteomics	Immunofluorescence	Up	corneal endothelium	UBERON_0001985	Uberon Ontology	
1062	DAI	ZBP1_MOUSE	Q9QY24	Zbp1	MGI:1927449	Z-DNA-binding protein 1	Mouse	Protein	34815387	Mus musculus	C57BL/6			Corneal endothelium	Cornea	Tissue	UVA-radiation	129.9	600000	in vitro	No irradiation	24	Proteomics	Western blot	Up	corneal endothelium	UBERON_0001985	Uberon Ontology	
1063	TRIF	TCAM1_MOUSE	Q80UF7	Ticam1	MGI:2147032	TIR domain-containing adapter molecule 1	Mouse	Protein	34815387	Mus musculus	C57BL/6			Corneal endothelium	Cornea	Tissue	UVA-radiation	129.9	600000	in vitro	No irradiation	24	Proteomics	Western blot	Up	corneal endothelium	UBERON_0001985	Uberon Ontology	
1064	MLKL	MLKL_MOUSE	Q9D2Y4	Mlkl	MGI:1921818	Mixed lineage kinase domain-like protein	Mouse	Protein	34815387	Mus musculus	C57BL/6			Corneal endothelium	Cornea	Tissue	UVA-radiation	129.9	600000	in vitro	No irradiation	24	Proteomics	Western blot	Up	corneal endothelium	UBERON_0001985	Uberon Ontology	
1065	MLKL	MLKL_MOUSE	Q9D2Y4	Mlkl	MGI:1921818	Mixed lineage kinase domain-like protein	Mouse	Protein	34815387	Mus musculus	C57BL/6			Corneal endothelium	Cornea	Tissue	UVA-radiation	129.9	600000	in vitro	No irradiation	24	Proteomics	Immunofluorescence	Up	corneal endothelium	UBERON_0001985	Uberon Ontology	
1066	MLKL	MLKL_HUMAN	Q8NB16	MLKL	HGNC:26617	Mixed lineage kinase domain-like protein	Human	Protein	34815387	Homo sapiens				Primary human corneal endothelial cells (pHCECs)		Cell	UVA-radiation			in vitro	No irradiation	24	Proteomics	Immunofluorescence	Up	corneal endothelium	UBERON_0001985	Uberon Ontology	
1067	RIPK3	RIPK3_HUMAN	Q9Y572	RIPK3	HGNC:10021	Receptor-interacting serine/threonine-protein kinase 3	Human	Protein	34815387	Homo sapiens				Primary human corneal endothelial cells (pHCECs)		Cell	UVA-radiation		200000	in vitro	No irradiation	24	Proteomics	Western blot	Up	corneal endothelium	UBERON_0001985	Uberon Ontology	
1068	RIPK3	RIPK3_HUMAN	Q9Y572	RIPK3	HGNC:10021	Receptor-interacting serine/threonine-protein kinase 3	Human	Protein	34815387	Homo sapiens				Primary human corneal endothelial cells (pHCECs)		Cell	UVA-radiation		100000	in vitro	No irradiation	24	Proteomics	Immunofluorescence	Up	corneal endothelium	UBERON_0001985	Uberon Ontology	
1069	RIPK3	RIPK3_HUMAN	Q9Y572	RIPK3	HGNC:10021	Receptor-interacting serine/threonine-protein kinase 3	Human	Protein	34815387	Homo sapiens				Primary human corneal endothelial cells (pHCECs)		Cell	UVA-radiation		200000	in vitro	No irradiation	24	Proteomics	Immunofluorescence	Up	corneal endothelium	UBERON_0001985	Uberon Ontology	
1070	p16	CDN2A_HUMAN	P42771	CDKN2A	HGNC:1787	cyclin dependent kinase inhibitor 2A	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1071	Caveolin-1	CAV1_HUMAN	Q03135	CAV1	HGNC:1527	Caveolin-1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1072	Histone H2A.J	H2AJ_HUMAN	Q9BTM1	H2AJ	HGNC:14456	Histone H2A.J	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1073	Superoxide dismutase-1	SODC_HUMAN	P00441	SOD1	HGNC:11179	Superoxide dismutase [Cu-Zn]	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1074	Human antioxidant protein 1 (ATOX1)	ATOX1_HUMAN	O00244	ATOX1	HGNC:798	Copper transport protein ATOX1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1075	Thioredoxin	THIO_HUMAN	P10599	TXN	HGNC:12435	Thioredoxin	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1076	Peroxiredoxin-5	PRDX5_HUMAN	P30044	PRDX5	HGNC:9355	Peroxiredoxin-5, mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1077	Heat shock protein beta-1	HSPB1_HUMAN	P04792	HSPB1	HGNC:5246	Heat shock protein beta-1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1078	Superoxide dismutase-2	SODM_HUMAN	P04179	SOD2	HGNC:11180	Superoxide dismutase [Mn], mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1079	Peroxiredoxin-1	PRDX1_HUMAN	Q06830	PRDX1	HGNC:9352	Peroxiredoxin-1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1080	Glutathione S-transferase P	GSTP1_HUMAN	P09211	GSTP1	HGNC:4638	Glutathione S-transferase P	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1081	Peroxiredoxin-6	PRDX6_HUMAN	P30041	PRDX6	HGNC:16753	Peroxiredoxin-6	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1082	Heat shock 70 kDa protein 1B	HS71B_HUMAN	P0DMV9	HSPA1B	HGNC:5233	Heat shock 70 kDa protein 1B	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1083	UV excision repair protein RAD23 homolog B	RD23B_HUMAN	P54727	RAD23B	HGNC:9813	UV excision repair protein RAD23 homolog B	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1084	2'-deoxynucleotide 5'-phosphate N-hydrolase 1	DNPH1_HUMAN	O43598	DNPH1	HGNC:21218	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1085	Cytidine deaminase	CDD_HUMAN	P32320	CDA	HGNC:1712	Cytidine deaminase	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1086	Nucleoside diphosphate kinase B	NDKB_HUMAN	P22392	NME2	HGNC:7850	Nucleoside diphosphate kinase B	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1087	Adenine phosphoribosyltransferase	APT_HUMAN	P07741	APRT	HGNC:626	Adenine phosphoribosyltransferase	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1088	Purine nucleoside phosphorylase	PNPH_HUMAN	P00491	PNP	HGNC:7892	Purine nucleoside phosphorylase	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1089	Macrophage migration inhibitory factor	MIF_HUMAN	P14174	MIF	HGNC:7097	Macrophage migration inhibitory factor	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1090	S100 calcium-binding protein A6	S10A6_HUMAN	P06703	S100A6	HGNC:10496	Protein S100-A6	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1091	S100 calcium-binding protein A13	S10AD_HUMAN	Q99584	S100A13	HGNC:10490	Protein S100-A13	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1092	Prostaglandin E synthase 3	TEBP_HUMAN	Q15185	PTGES3	HGNC:16049	Prostaglandin E synthase 3	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1093	S100 calcium-binding protein A9	S10A9_HUMAN	P06702	S100A9	HGNC:10499	Protein S100-A9	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1094	Interleukin 18	IL18_HUMAN	Q14116	IL18	HGNC:5986	Interleukin-18	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1095	Macrophage -capping protein A2	CAPG_HUMAN	P40121	CAPG	HGNC:1474	Macrophage-capping protein	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1096	Cytochrome b-c1 complex subunit Rieske	UCRI_HUMAN	P47985	UQCRFS1	HGNC:12587	Cytochrome b-c1 complex subunit Rieske, mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1097	ATP synthase subunit beta	ATPB_HUMAN	P06576	ATP5F1B	HGNC:830	ATP synthase subunit beta, mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1098	Malate dehydrogenase	MDHM_HUMAN	P40926	MDH2	HGNC:6971	Malate dehydrogenase, mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1099	ATP synthase subunit O	ATPO_HUMAN	P48047	ATP5PO	HGNC:850	ATP synthase subunit O, mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1100	Succinyl-CoA ligase (ADP/GDP-forming) subunit alpha	SUCA_HUMAN	P53597	SUCLG1	HGNC:11449	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1101	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8	NDUA8_HUMAN	P51970	NDUFA8	HGNC:7692	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1102	Electron transfer flavoprotein subunit alpha	ETFA_HUMAN	P13804	ETFA	HGNC:3481	Electron transfer flavoprotein subunit alpha, mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1103	ACTN1	ACTN1_HUMAN	P12814	ACTN1	HGNC:163	Alpha-actinin-1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1104	MX1	MX1_HUMAN	P20591	MX1	HGNC:7532	Interferon-induced GTP-binding protein Mx1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1105	CRYAB	CRYAB_HUMAN	P02511	CRYAB	HGNC:2389	Alpha-crystallin B chain	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1106	EPPK1	EPIPL_HUMAN	P58107	EPPK1	HGNC:15577	Epiplakin	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1107	IVL	INVO_HUMAN	P07476	IVL	HGNC:6187	Involucrin	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1108	HSPB1	HSPB1_HUMAN	P04792	HSPB1	HGNC:5246	Heat shock protein beta-1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1109	PSMA4	PSA4_HUMAN	P25789	PSMA4	HGNC:9533	Proteasome subunit alpha type-4	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1110	TUFM	EFTU_HUMAN	P49411	TUFM	HGNC:12420	Elongation factor Tu, mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1111	FABP5	FABP5_HUMAN	Q01469	FABP5	HGNC:3560	Fatty acid-binding protein 5	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1112	GPNMB	GPNMB_HUMAN	Q14956	GPNMB	HGNC:4462	Transmembrane glycoprotein NMB	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1113	VDAC1	VDAC1_HUMAN	P21796	VDAC1	HGNC:12669	Voltage-dependent anion-selective channel protein 1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1114	DST	DYST_HUMAN	Q03001	DST	HGNC:1090	Dystonin	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1115	CRABP2	RABP2_HUMAN	P29373	CRABP2	HGNC:2339	Cellular retinoic acid-binding protein 2	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1116	HIST1H4A	H4_HUMAN	P62805	H4C1	HGNC:4781	Histone H4	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1117	DPYSL2	DPYL2_HUMAN	Q16555	DPYSL2	HGNC:3014	Dihydropyrimidinase-related protein 2	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1118	LAMA3	LAMA3_HUMAN	Q16787	LAMA3	HGNC:6483	Laminin subunit alpha-3	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1119	VIM	VIME_HUMAN	P08670	VIM	HGNC:12692	Vimentin	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1120	ITGA6	ITA6_HUMAN	P23229	ITGA6	HGNC:6142	Integrin alpha-6	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1121	F3	TF_HUMAN	P13726	F3	HGNC:3541	Tissue factor	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1122	LAMB3	LAMB3_HUMAN	Q13751	LAMB3	HGNC:6490	Laminin subunit beta-3	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1123	TFRC	TFR1_HUMAN	P02786	TFRC	HGNC:11763	Transferrin receptor protein 1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1124	KRT19	K1C19_HUMAN	P08727	KRT19	HGNC:6436	Keratin, type I cytoskeletal 19	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
