sno	Collected_Gene_name	Approved_Symbol	Gene_Identifier	Approved_Name	Ensembl_Gene_ID	NCBI_Gene_ID	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
2006	MMP-1	MMP1	HGNC:7155	matrix metallopeptidase 1	ENSG00000196611	4312	Human	Gene	32522955	Homo sapiens	Korean	Male	7-30	HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
2007	ID4	ID4	HGNC:5363	inhibitor of DNA binding 4	ENSG00000172201	3400	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	4	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2008	ID4	ID4	HGNC:5363	inhibitor of DNA binding 4	ENSG00000172201	3400	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	8	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2009	ID4	ID4	HGNC:5363	inhibitor of DNA binding 4	ENSG00000172201	3400	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	12	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2010	DNMT1	DNMT1	HGNC:2976	DNA methyltransferase 1	ENSG00000130816	1786	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	8	Genomics	qPCR	Up	keratinocyte	CL_0000312	Cell Ontology	
2011	DNMT1	DNMT1	HGNC:2976	DNA methyltransferase 1	ENSG00000130816	1786	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	12	Genomics	qPCR	Up	keratinocyte	CL_0000312	Cell Ontology	
2012	DNMT3A	DNMT3A	HGNC:2978	DNA methyltransferase 3 alpha	ENSG00000119772	1788	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	8	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2013	DNMT3A	DNMT3A	HGNC:2978	DNA methyltransferase 3 alpha	ENSG00000119772	1788	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	12	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2014	DNMT3B	DNMT3B	HGNC:2979	DNA methyltransferase 3 beta	ENSG00000088305	1789	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	4	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2015	DNMT3B	DNMT3B	HGNC:2979	DNA methyltransferase 3 beta	ENSG00000088305	1789	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	8	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2016	DNMT3B	DNMT3B	HGNC:2979	DNA methyltransferase 3 beta	ENSG00000088305	1789	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	12	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2017	TET1	TET1	HGNC:29484	tet methylcytosine dioxygenase 1	ENSG00000138336	80312	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	8	Genomics	qPCR	Up	keratinocyte	CL_0000312	Cell Ontology	
2018	TET1	TET1	HGNC:29484	tet methylcytosine dioxygenase 1	ENSG00000138336	80312	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	12	Genomics	qPCR	Up	keratinocyte	CL_0000312	Cell Ontology	
2019	TET2	TET2	HGNC:25941	tet methylcytosine dioxygenase 2	ENSG00000168769	54790	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	4	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2020	TET2	TET2	HGNC:25941	tet methylcytosine dioxygenase 2	ENSG00000168769	54790	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	8	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2021	TET2	TET2	HGNC:25941	tet methylcytosine dioxygenase 2	ENSG00000168769	54790	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	12	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2022	TET3	TET3	HGNC:28313	tet methylcytosine dioxygenase 3	ENSG00000187605	200424	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	4	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2023	TET3	TET3	HGNC:28313	tet methylcytosine dioxygenase 3	ENSG00000187605	200424	Human	Gene	32574963	Homo sapiens	Healthy			HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	8	Genomics	qPCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2024	DNMT1	Dnmt1	MGI:94912	DNA methyltransferase (cytosine-5) 1	ENSMUSG00000004099	13433	Mouse	Gene	32574963	Mus musculus	C3H/HeN	Male			Skin	Tissue	UVB-radiation		1500	in vivo	No irradiation		Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
2025	DNMT3A	Dnmt3a	MGI:1261827	DNA methyltransferase 3A	ENSMUSG00000020661	13435	Mouse	Gene	32574963	Mus musculus	C3H/HeN	Male			Skin	Tissue	UVB-radiation		1500	in vivo	No irradiation		Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
2026	DNMT3B	Dnmt3b	MGI:1261819	DNA methyltransferase 3B	ENSMUSG00000027478	13436	Mouse	Gene	32574963	Mus musculus	C3H/HeN	Male			Skin	Tissue	UVB-radiation		1500	in vivo	No irradiation		Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
2027	TET1	Tet1	MGI:1098693	tet methylcytosine dioxygenase 1	ENSMUSG00000047146	52463	Mouse	Gene	32574963	Mus musculus	C3H/HeN	Male			Skin	Tissue	UVB-radiation		1500	in vivo	No irradiation		Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
2028	TET2	Tet2	MGI:2443298	tet methylcytosine dioxygenase 2	ENSMUSG00000040943	214133	Mouse	Gene	32574963	Mus musculus	C3H/HeN	Male			Skin	Tissue	UVB-radiation		1500	in vivo	No irradiation		Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
2029	TET3	Tet3	MGI:2446229	tet methylcytosine dioxygenase 3	ENSMUSG00000034832	194388	Mouse	Gene	32574963	Mus musculus	C3H/HeN	Male			Skin	Tissue	UVB-radiation		1500	in vivo	No irradiation		Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
2030	ID4	Id4	MGI:99414	inhibitor of DNA binding 4	ENSMUSG00000021379	15904	Mouse	Gene	32574963	Mus musculus	C3H/HeN	Male			Skin	Tissue	UVB-radiation		1500	in vivo	No irradiation		Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
2031	MMP-2	MMP2	HGNC:7166	matrix metallopeptidase 2	ENSG00000087245	4313	Human	Gene	32617130	Homo sapiens				Human dermal fibroblast (HDF)	Skin	Cell	UVB-radiation	22	400	in vitro	No irradiation		Genomics	Real time-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
2032	MMP-9	MMP9	HGNC:7176	matrix metallopeptidase 9	ENSG00000100985	4318	Human	Gene	32617130	Homo sapiens				Human dermal fibroblast (HDF)	Skin	Cell	UVB-radiation	22	400	in vitro	No irradiation		Genomics	Real time-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
2033	MMP-3	MMP3	HGNC:7173	matrix metallopeptidase 3	ENSG00000149968	4314	Human	Gene	32629798	Homo sapiens				Human Reconstituted Skin Tissue Model (EpiDermTM EPI-200)	Skin	Tissue	UVB-radiation		550	in vitro	No irradiation	24	Genomics	Quantitative real-time PCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
2034	MMP-7	MMP7	HGNC:7174	matrix metallopeptidase 7	ENSG00000137673	4316	Human	Gene	32629798	Homo sapiens				Human Reconstituted Skin Tissue Model (EpiDermTM EPI-200)	Skin	Tissue	UVB-radiation		550	in vitro	No irradiation	24	Genomics	Quantitative real-time PCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
2035	MMP-9	MMP9	HGNC:7176	matrix metallopeptidase 9	ENSG00000100985	4318	Human	Gene	32629798	Homo sapiens				Human Reconstituted Skin Tissue Model (EpiDermTM EPI-200)	Skin	Tissue	UVB-radiation		550	in vitro	No irradiation	24	Genomics	Quantitative real-time PCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
2036	nc886	VTRNA2-1	HGNC:37054	vault RNA 2-1	ENSG00000278815	100126299	Human	Gene	32630038	Homo sapiens				HaCaT		Cell	UVB-radiation		50	in vitro	No irradiation	24	Genomics	qRT-PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2037	nc886	VTRNA2-1	HGNC:37054	vault RNA 2-1	ENSG00000278815	100126299	Human	Gene	32630038	Homo sapiens				HaCaT		Cell	UVB-radiation		100	in vitro	No irradiation	24	Genomics	qRT-PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2038	MMP-9	MMP9	HGNC:7176	matrix metallopeptidase 9	ENSG00000100985	4318	Human	Gene	32630038	Homo sapiens				HaCaT		Cell	UVB-radiation		50	in vitro	No irradiation	24	Genomics	qRT-PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
2039	COX-2	PTGS2	HGNC:9605	prostaglandin-endoperoxide synthase 2	ENSG00000073756	5743	Human	Gene	32630038	Homo sapiens				HaCaT		Cell	UVB-radiation		50	in vitro	No irradiation	24	Genomics	qRT-PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
2040	TLR4	TLR4	HGNC:11850	toll like receptor 4	ENSG00000136869	7099	Human	Gene	32633336	Homo sapiens				Human corneal epithelial cell line (HCE)		Cell	UVB-radiation	0.2		in vitro	No irradiation		Genomics	qRT-PCR	Up	corneal epithelial cell	CL_0000575	Cell Ontology	
2041	SIRT1	SIRT1	HGNC:14929	sirtuin 1	ENSG00000096717	23411	Human	Gene	32666439	Homo sapiens				Primary normal human dermal fbroblasts (NHDF)	Skin	Cell	UVA-radiation		100000	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
2042	HSP47	SERPINH1	HGNC:1546	serpin family H member 1	ENSG00000149257	871	Human	Gene	32666439	Homo sapiens				Primary normal human dermal fbroblasts (NHDF)	Skin	Cell	UVA-radiation		100000	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
2043	MMP-1	MMP1	HGNC:7155	matrix metallopeptidase 1	ENSG00000196611	4312	Human	Gene	32721259	Homo sapiens				Human dermal fibroblasts (HDFs)		Cell	UV radiation-General		500	in vitro	No irradiation	24	Genomics	Quantitative real-time PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
2044	Type I procollagen	COL1A1	HGNC:2197	collagen type I alpha 1 chain	ENSG00000108821	1277	Human	Gene	32721259	Homo sapiens				Human dermal fibroblasts (HDFs)		Cell	UV radiation-General		500	in vitro	No irradiation	24	Genomics	Quantitative real-time PCR	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
2045	MMP-13	Mmp13	MGI:1340026	matrix metallopeptidase 13	ENSMUSG00000050578	17386	Mouse	Gene	32721259	Mus musculus	SKH-1	Female	0.14		Dorsal skin	Tissue	UV radiation-General			in vivo	No irradiation		Genomics	Quantitative real-time PCR	Up	skin of back	UBERON_0001068	Uberon Ontology	
2046	HMGA2	HMGA2	HGNC:5009	high mobility group AT-hook 2	ENSG00000149948	8091	Human	Gene	32780494	Homo sapiens				Neonatal foreskin keratinocytes	Foreskin	Cell	UVB-radiation		600	in vitro	No irradiation	48	Genomics	qRT-PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2047	HMGA2	HMGA2	HGNC:5009	high mobility group AT-hook 2	ENSG00000149948	8091	Human	Gene	32780494	Homo sapiens				Neonatal foreskin keratinocytes	Foreskin	Cell	UVB-radiation		800	in vitro	No irradiation	48	Genomics	qRT-PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2048	HMGA2	HMGA2	HGNC:5009	high mobility group AT-hook 2	ENSG00000149948	8091	Human	Gene	32780494	Homo sapiens				Neonatal foreskin keratinocytes	Foreskin	Cell	UVB-radiation		1000	in vitro	No irradiation	48	Genomics	qRT-PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2049	HMGA2	HMGA2	HGNC:5009	high mobility group AT-hook 2	ENSG00000149948	8091	Human	Gene	32780494	Homo sapiens				Neonatal foreskin keratinocytes	Foreskin	Cell	UVB-radiation		1200	in vitro	No irradiation	48	Genomics	qRT-PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2050	KRT24	KRT2	HGNC:6439	keratin 2	ENSG00000172867	3849	Human	Gene	32822701	Homo sapiens				Primary human corneal epithelial cells (HCEpCs)		Cell	UVB-radiation		8000000	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Up	corneal epithelial cell	CL_0000575	Cell Ontology	
2051	MMP-9	MMP9	HGNC:7176	matrix metallopeptidase 9	ENSG00000100985	4318	Human	Gene	32822701	Homo sapiens				Primary human corneal epithelial cells (HCEpCs)		Cell	UVB-radiation		1000000	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Up	corneal epithelial cell	CL_0000575	Cell Ontology	
2052	MMP-9	MMP9	HGNC:7176	matrix metallopeptidase 9	ENSG00000100985	4318	Human	Gene	32822701	Homo sapiens				Primary human corneal epithelial cells (HCEpCs)		Cell	UVB-radiation		2000000	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Up	corneal epithelial cell	CL_0000575	Cell Ontology	
2053	MMP-9	MMP9	HGNC:7176	matrix metallopeptidase 9	ENSG00000100985	4318	Human	Gene	32822701	Homo sapiens				Human telomerase immortalized corneal epithelial cell line (hTCEpi)		Cell	UVB-radiation		1000000	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Up	corneal epithelial cell	CL_0000575	Cell Ontology	
2054	MMP-9	MMP9	HGNC:7176	matrix metallopeptidase 9	ENSG00000100985	4318	Human	Gene	32822701	Homo sapiens				Primary human conjunctival fibroblasts (HConFs)		Cell	UVB-radiation		4000000	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Up	fibroblast of the conjunctiva	CL_0002550	Cell Ontology	
2055	MMP-9	MMP9	HGNC:7176	matrix metallopeptidase 9	ENSG00000100985	4318	Human	Gene	32822701	Homo sapiens				Primary human conjunctival fibroblasts (HConFs)		Cell	UVB-radiation		8000000	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Up	fibroblast of the conjunctiva	CL_0002550	Cell Ontology	
2056	MMP-9	MMP9	HGNC:7176	matrix metallopeptidase 9	ENSG00000100985	4318	Human	Gene	32822701	Homo sapiens				Primary pterygium fibroblast cells (HPFCs)		Cell	UVB-radiation		8000000	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Up	fibroblast of the conjunctiva	CL_0002550	Cell Ontology	
2057	CRTAC1	CRTAC1	HGNC:14882	cartilage acidic protein 1	ENSG00000095713	55118	Human	Gene	33045215	Homo sapiens				Human lens epithelial cells (HLECs)		Cell	UVB-radiation	2		in vitro	No irradiation		Genomics	Quantitative real-time PCR	Up	lens epithelial cell	CL_0002224	Cell Ontology	
2058	Gpr40	Ffar1	MGI:2684079	free fatty acid receptor 1	ENSMUSG00000044453	233081	Mouse	Gene	33262575	Mus musculus	C57BL/6	Female	0.16	Epidermal stem cells (ESCs)		Cell	UVB-radiation		250	in vitro	No irradiation		Genomics	Real-Time PCR	Down	stem cell of epidermis	CL_1000428	Cell Ontology	
2059	Gpr40	Ffar1	MGI:2684079	free fatty acid receptor 1	ENSMUSG00000044453	233081	Mouse	Gene	33262575	Mus musculus	C57BL/6	Female	0.16	Epidermal stem cells (ESCs)		Cell	UVB-radiation		500	in vitro	No irradiation		Genomics	Real-Time PCR	Down	stem cell of epidermis	CL_1000428	Cell Ontology	
2060	Gpr40	Ffar1	MGI:2684079	free fatty acid receptor 1	ENSMUSG00000044453	233081	Mouse	Gene	33262575	Mus musculus	C57BL/6	Female	0.16	Epidermal stem cells (ESCs)		Cell	UVB-radiation		1000	in vitro	No irradiation		Genomics	Real-Time PCR	Down	stem cell of epidermis	CL_1000428	Cell Ontology	
2061	IL-1β	Il1b	MGI:96543	interleukin 1 beta	ENSMUSG00000027398	16176	Mouse	Gene	33262575	Mus musculus	C57BL/6	Female	0.16	Epidermal stem cells (ESCs)		Cell	UVB-radiation		500	in vitro	No irradiation		Genomics	Real-Time PCR	Up	stem cell of epidermis	CL_1000428	Cell Ontology	
2062	IL-8	Cxcl15	MGI:1339941	chemokine (C-X-C motif) ligand 15	ENSMUSG00000029375	20309	Mouse	Gene	33262575	Mus musculus	C57BL/6	Female	0.16	Epidermal stem cells (ESCs)		Cell	UVB-radiation		500	in vitro	No irradiation		Genomics	Real-Time PCR	Up	stem cell of epidermis	CL_1000428	Cell Ontology	
2063	Integrin β1	Itgb1	MGI:96610	integrin beta 1 (fibronectin receptor beta)	ENSMUSG00000025809	16412	Mouse	Gene	33262575	Mus musculus	C57BL/6	Female	0.16	Epidermal stem cells (ESCs)		Cell	UVB-radiation		500	in vitro	No irradiation		Genomics	Real-Time PCR	Down	stem cell of epidermis	CL_1000428	Cell Ontology	
2064	Krt19	Krt19	MGI:96693	keratin 19	ENSMUSG00000020911	16669	Mouse	Gene	33262575	Mus musculus	C57BL/6	Female	0.16	Epidermal stem cells (ESCs)		Cell	UVB-radiation		500	in vitro	No irradiation		Genomics	Real-Time PCR	Down	stem cell of epidermis	CL_1000428	Cell Ontology	
2065	Wnt1	Wnt1	MGI:98953	wingless-type MMTV integration site family, member 1	ENSMUSG00000022997	22408	Mouse	Gene	33262575	Mus musculus	C57BL/6	Female	0.16	Epidermal stem cells (ESCs)		Cell	UVB-radiation		500	in vitro	No irradiation		Genomics	Real-Time PCR	Down	stem cell of epidermis	CL_1000428	Cell Ontology	
2066	cyclin D1	Ccnd1	MGI:88313	cyclin D1	ENSMUSG00000070348	12443	Mouse	Gene	33262575	Mus musculus	C57BL/6	Female	0.16	Epidermal stem cells (ESCs)		Cell	UVB-radiation		500	in vitro	No irradiation		Genomics	Real-Time PCR	Down	stem cell of epidermis	CL_1000428	Cell Ontology	
2067	miR-7515	MIR7515	HGNC:49839	microRNA 7515	ENSG00000283394	102466235	Human	Gene	33329055	Homo sapiens				Human skin fibroblasts (HSFs)	Skin	Cell	UVB-radiation			in vitro	No irradiation		Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
2068	miR-3163	MIR3163	HGNC:38209	microRNA 3163	ENSG00000266423	100423029	Human	Gene	33329055	Homo sapiens				Human skin fibroblasts (HSFs)	Skin	Cell	UVB-radiation			in vitro	No irradiation		Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
2069	miR-4514	MIR4514	HGNC:41845	microRNA 4514	ENSG00000265855	100616181	Human	Gene	33329055	Homo sapiens				Human skin fibroblasts (HSFs)	Skin	Cell	UVB-radiation			in vitro	No irradiation		Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
2070	COL1A2	COL1A2	HGNC:2198	collagen type I alpha 2 chain	ENSG00000164692	1278	Human	Gene	33356000	Homo sapiens				CCD-986Sk (human fibroblasts)		Cell	UVB-radiation		240	in vitro	No irradiation	48	Genomics	Real-Time PCR	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
2071	MMP-1	MMP1	HGNC:7155	matrix metallopeptidase 1	ENSG00000196611	4312	Human	Gene	33356000	Homo sapiens				CCD-986Sk (human fibroblasts)		Cell	UVB-radiation		240	in vitro	No irradiation	48	Genomics	Real-Time PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
2072	MMP-9	MMP9	HGNC:7176	matrix metallopeptidase 9	ENSG00000100985	4318	Human	Gene	33356000	Homo sapiens				CCD-986Sk (human fibroblasts)		Cell	UVB-radiation		240	in vitro	No irradiation	48	Genomics	Real-Time PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
2073	HAS2	HAS2	HGNC:4819	hyaluro synthase 2	ENSG00000170961	3037	Human	Gene	33356000	Homo sapiens				CCD-986Sk (human fibroblasts)		Cell	UVB-radiation		240	in vitro	No irradiation	48	Genomics	Real-Time PCR	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
2074	TGF-β	TGFB1	HGNC:11766	transforming growth factor beta 1	ENSG00000105329	7040	Human	Gene	33356000	Homo sapiens				CCD-986Sk (human fibroblasts)		Cell	UVB-radiation		240	in vitro	No irradiation	48	Genomics	Real-Time PCR	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
2075	TIMP-1	TIMP1	HGNC:11820	TIMP metallopeptidase inhibitor 1	ENSG00000102265	7076	Human	Gene	33356000	Homo sapiens				CCD-986Sk (human fibroblasts)		Cell	UVB-radiation		240	in vitro	No irradiation	48	Genomics	Real-Time PCR	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
2076	IFNβ	IFNB1	HGNC:5434	interferon beta 1	ENSG00000171855	3456	Human	Gene	33423764	Homo sapiens				HaCaT		Cell	UVB-radiation		200	in vitro	No irradiation		Genomics	Quantitative real-time PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
2077	AIF	AIFM1	HGNC:8768	apoptosis inducing factor mitochondria associated 1	ENSG00000156709	9131	Human	Gene	33487044	Homo sapiens				Human lens epithelial cells line B-3 (HLE B-3)		Cell	UVB-radiation	2.5	300	in vitro	No irradiation	24	Genomics	qPCR	Up	lens epithelial cell	CL_0002224	Cell Ontology	
2078	Endo G	ENDOG	HGNC:3346	endonuclease G	ENSG00000167136	2021	Human	Gene	33487044	Homo sapiens				Human lens epithelial cells line B-3 (HLE B-3)		Cell	UVB-radiation	2.5	300	in vitro	No irradiation	24	Genomics	qPCR	Up	lens epithelial cell	CL_0002224	Cell Ontology	
2079	ACVR1C	ACVR1C	HGNC:18123	activin A receptor type 1C	ENSG00000123612	130399	Human	Gene	33499275	Homo sapiens	Healthy				Buttock skin	Tissue	(UVA+UVB)-radiation			in vivo	No irradiation	24	Genomics	Quantitative real-time PCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
2080	ACVR1C	ACVR1C	HGNC:18123	activin A receptor type 1C	ENSG00000123612	130399	Human	Gene	33499275	Homo sapiens	Healthy				Buttock skin	Tissue	(UVA+UVB)-radiation			in vivo	No irradiation	48	Genomics	Quantitative real-time PCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
2081	ACVR1C	ACVR1C	HGNC:18123	activin A receptor type 1C	ENSG00000123612	130399	Human	Gene	33499275	Homo sapiens	Healthy				Buttock skin	Tissue	(UVA+UVB)-radiation			in vivo	No irradiation	72	Genomics	Quantitative real-time PCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
2082	ACVR1C	ACVR1C	HGNC:18123	activin A receptor type 1C	ENSG00000123612	130399	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	6	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2083	ACVR1C	ACVR1C	HGNC:18123	activin A receptor type 1C	ENSG00000123612	130399	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	12	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2084	ACVR1C	ACVR1C	HGNC:18123	activin A receptor type 1C	ENSG00000123612	130399	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	24	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2085	ACC	ACACA	HGNC:84	acetyl-CoA carboxylase alpha	ENSG00000278540	31	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	6	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2086	ACC	ACACA	HGNC:84	acetyl-CoA carboxylase alpha	ENSG00000278540	31	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	12	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2087	ACC	ACACA	HGNC:84	acetyl-CoA carboxylase alpha	ENSG00000278540	31	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	24	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2088	Fatty acid synthase (FAS)	FASN	HGNC:3594	fatty acid synthase	ENSG00000169710	2194	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	6	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2089	Fatty acid synthase (FAS)	FASN	HGNC:3594	fatty acid synthase	ENSG00000169710	2194	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	12	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2090	Stearoyl CoA desaturase (SCD)	SCD	HGNC:10571	stearoyl-CoA desaturase	ENSG00000099194	6319	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	6	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2091	Stearoyl CoA desaturase (SCD)	SCD	HGNC:10571	stearoyl-CoA desaturase	ENSG00000099194	6319	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	12	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2092	Stearoyl CoA desaturase (SCD)	SCD	HGNC:10571	stearoyl-CoA desaturase	ENSG00000099194	6319	Human	Gene	33499275	Homo sapiens	Healthy			NHEK	Foreskin	Cell	(UVA+UVB)-radiation		750	in vitro	No irradiation	24	Genomics	Quantitative real-time PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
2093	MMP1	MMP1	HGNC:7155	matrix metallopeptidase 1	ENSG00000196611	4312	Human	Gene	33505120	Homo sapiens				HaCaT		Cell	UVB-radiation		300	in vitro	No irradiation	12	Genomics	RT-PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
